Category,Cluster_Number,Color,Customer ID,Discount Applied,Frequency of Purchases,Gender,Item Purchased,Location,Payment Method,Preferred Payment Method,Promo Code Used,Season,Shipping Type,Size,Subscription Status,Age,Previous Purchases,Purchase Amount (USD),Review Rating
Outerwear,Cluster 2,Teal,15,Yes,Weekly,Male,Coat,New York,PayPal,Debit Card,Yes,Winter,Free Shipping,L,Yes,64,34,53,4.7
Clothing,Cluster 3,Teal,16,Yes,Monthly,Male,Skirt,Rhode Island,Credit Card,PayPal,Yes,Winter,Store Pickup,M,Yes,64,8,81,2.8
Accessories,Cluster 4,Gray,17,Yes,Bi-Weekly,Male,Sunglasses,Alabama,Venmo,Debit Card,Yes,Spring,Next Day Air,S,Yes,25,44,36,4.1
Clothing,Cluster 3,Lavender,18,Yes,Quarterly,Male,Dress,Mississippi,Debit Card,Venmo,Yes,Winter,2-Day Shipping,XL,Yes,53,36,38,4.7
Clothing,Cluster 3,Black,19,Yes,Weekly,Male,Sweater,Montana,Bank Transfer,Cash,Yes,Summer,Free Shipping,S,Yes,52,17,48,4.6
Clothing,Cluster 3,Green,20,Yes,Bi-Weekly,Male,Pants,Rhode Island,Venmo,Debit Card,Yes,Summer,Standard,M,Yes,66,46,90,3.3
Clothing,Cluster 3,Black,21,Yes,Every 3 Months,Male,Pants,Louisiana,Credit Card,Cash,Yes,Winter,Express,M,Yes,21,50,51,2.8
Clothing,Cluster 3,Charcoal,22,Yes,Quarterly,Male,Pants,North Carolina,Credit Card,Debit Card,Yes,Winter,Store Pickup,M,Yes,31,22,62,4.1
Clothing,Cluster 3,Peach,23,Yes,Annually,Male,Pants,California,Cash,Debit Card,Yes,Summer,Store Pickup,M,Yes,56,32,37,3.2
Clothing,Cluster 3,White,24,Yes,Weekly,Male,Pants,Oklahoma,Credit Card,Credit Card,Yes,Winter,Express,XL,Yes,31,40,88,4.4
Outerwear,Cluster 2,Green,25,Yes,Weekly,Male,Jacket,Florida,Cash,Debit Card,Yes,Fall,Store Pickup,M,Yes,18,16,22,2.9
Clothing,Cluster 3,Silver,26,Yes,Annually,Male,Hoodie,Texas,Bank Transfer,PayPal,Yes,Summer,Express,M,Yes,18,14,25,3.6
Accessories,Cluster 4,Red,27,Yes,Annually,Male,Jewelry,Nevada,Cash,Credit Card,Yes,Spring,Next Day Air,M,Yes,38,13,20,3.6
Clothing,Cluster 3,Cyan,28,Yes,Every 3 Months,Male,Shorts,Kentucky,Debit Card,Bank Transfer,Yes,Summer,Next Day Air,L,Yes,56,7,56,5
Accessories,Cluster 4,Gray,29,Yes,Every 3 Months,Male,Handbag,North Carolina,Debit Card,PayPal,Yes,Fall,Free Shipping,M,Yes,54,41,94,4.4
Clothing,Cluster 3,Black,30,Yes,Weekly,Male,Dress,Wyoming,Venmo,Credit Card,Yes,Fall,Store Pickup,S,Yes,31,14,48,4.1
Accessories,Cluster 4,Black,31,Yes,Monthly,Male,Jewelry,North Carolina,Bank Transfer,Credit Card,Yes,Winter,Standard,L,Yes,57,16,31,4.7
Clothing,Cluster 3,Brown,32,Yes,Monthly,Male,Dress,West Virginia,Venmo,Venmo,Yes,Winter,Store Pickup,L,Yes,33,45,79,4.7
Outerwear,Cluster 2,Silver,33,Yes,Annually,Male,Jacket,Kansas,Bank Transfer,Venmo,Yes,Summer,Free Shipping,M,Yes,36,37,67,4.9
Clothing,Cluster 3,Green,34,Yes,Quarterly,Male,Pants,Colorado,Venmo,Cash,Yes,Summer,Store Pickup,L,Yes,54,45,38,3.3
Clothing,Cluster 3,Violet,35,Yes,Quarterly,Male,T-shirt,North Dakota,Debit Card,PayPal,Yes,Spring,2-Day Shipping,L,Yes,36,38,91,4.6
Clothing,Cluster 3,Cyan,36,Yes,Bi-Weekly,Male,Blouse,Massachusetts,Bank Transfer,Credit Card,Yes,Summer,2-Day Shipping,M,Yes,54,48,33,4
Clothing,Cluster 3,Maroon,37,Yes,Fortnightly,Male,T-shirt,Illinois,Cash,PayPal,Yes,Winter,Free Shipping,M,Yes,35,44,69,4.6
Clothing,Cluster 3,Cyan,38,Yes,Weekly,Male,Jeans,Indiana,Debit Card,PayPal,Yes,Summer,Store Pickup,S,Yes,35,10,45,2.8
Clothing,Cluster 3,Red,39,Yes,Every 3 Months,Male,Dress,Florida,Debit Card,Venmo,Yes,Winter,2-Day Shipping,M,Yes,29,44,37,3.7
Clothing,Cluster 3,Turquoise,40,Yes,Monthly,Male,Pants,Arizona,Bank Transfer,Credit Card,Yes,Summer,Express,S,Yes,70,18,60,4.2
Accessories,Cluster 4,Beige,41,Yes,Quarterly,Male,Handbag,Louisiana,PayPal,Debit Card,Yes,Winter,Next Day Air,L,Yes,69,31,76,4.6
Accessories,Cluster 4,Orange,42,Yes,Annually,Male,Scarf,Alaska,Cash,Venmo,Yes,Spring,Standard,M,Yes,67,40,39,4.5
Outerwear,Cluster 2,Beige,43,Yes,Annually,Male,Coat,Tennessee,Bank Transfer,PayPal,Yes,Spring,Free Shipping,M,Yes,20,15,100,4.1
Accessories,Cluster 4,Lavender,44,Yes,Fortnightly,Male,Scarf,Ohio,PayPal,PayPal,Yes,Fall,Store Pickup,L,Yes,25,19,69,3.7
Accessories,Cluster 4,Silver,45,Yes,Weekly,Male,Hat,Kentucky,Bank Transfer,PayPal,Yes,Summer,Free Shipping,S,Yes,39,45,53,4.6
Clothing,Cluster 3,Indigo,46,Yes,Annually,Male,Socks,Tennessee,Venmo,PayPal,Yes,Fall,2-Day Shipping,XL,Yes,50,25,21,2.9
Clothing,Cluster 3,White,47,Yes,Quarterly,Male,Shirt,California,Venmo,Cash,Yes,Summer,Store Pickup,L,Yes,57,45,43,2.9
Accessories,Cluster 4,Charcoal,48,Yes,Weekly,Male,Jewelry,Montana,Debit Card,Cash,Yes,Winter,Free Shipping,M,Yes,55,36,54,4.5
Clothing,Cluster 3,Orange,49,Yes,Monthly,Male,Shirt,Nevada,Debit Card,Cash,Yes,Summer,Store Pickup,M,Yes,42,38,55,2.7
Clothing,Cluster 3,Indigo,50,Yes,Bi-Weekly,Male,Hoodie,New Jersey,Bank Transfer,Debit Card,Yes,Spring,Next Day Air,S,Yes,68,34,30,4.6
Clothing,Cluster 3,Red,51,Yes,Bi-Weekly,Male,Blouse,Maryland,Cash,Debit Card,Yes,Spring,Store Pickup,M,Yes,49,39,28,3.7
Clothing,Cluster 3,Gray,52,Yes,Quarterly,Male,Skirt,Vermont,PayPal,Credit Card,Yes,Winter,2-Day Shipping,XL,Yes,59,7,59,4.7
Clothing,Cluster 3,Green,53,Yes,Weekly,Male,T-shirt,Alaska,Credit Card,Credit Card,Yes,Summer,Free Shipping,M,Yes,42,26,20,2.6
Clothing,Cluster 3,Peach,54,Yes,Weekly,Male,Skirt,Mississippi,Debit Card,Credit Card,Yes,Winter,Next Day Air,S,Yes,29,35,24,3.9
Outerwear,Cluster 2,Brown,55,Yes,Bi-Weekly,Male,Coat,New Mexico,Bank Transfer,Debit Card,Yes,Summer,Next Day Air,M,Yes,47,35,94,4.2
Outerwear,Cluster 2,Lavender,56,Yes,Annually,Male,Jacket,South Carolina,Venmo,Credit Card,Yes,Winter,2-Day Shipping,M,Yes,40,49,28,3
Accessories,Cluster 4,Brown,57,Yes,Weekly,Male,Backpack,Mississippi,PayPal,Credit Card,Yes,Summer,Store Pickup,XL,Yes,41,46,73,4.7
Outerwear,Cluster 2,White,58,Yes,Fortnightly,Male,Coat,West Virginia,PayPal,Debit Card,Yes,Summer,Store Pickup,M,Yes,21,17,64,4.4
Clothing,Cluster 3,Charcoal,59,Yes,Monthly,Male,Hoodie,Missouri,Credit Card,Venmo,Yes,Summer,Free Shipping,M,Yes,69,29,54,4.2
Accessories,Cluster 4,Yellow,60,Yes,Weekly,Male,Belt,Louisiana,Debit Card,Debit Card,Yes,Spring,Standard,L,Yes,63,4,79,4.6
Clothing,Cluster 3,Brown,61,Yes,Weekly,Male,Sweater,Idaho,Credit Card,Cash,Yes,Summer,Express,L,Yes,50,17,37,4
Accessories,Cluster 4,Orange,62,Yes,Every 3 Months,Male,Scarf,Texas,Bank Transfer,Credit Card,Yes,Winter,Store Pickup,M,Yes,55,21,68,4.7
Footwear,Cluster 1,Magenta,63,Yes,Fortnightly,Male,Sneakers,Mississippi,Credit Card,Credit Card,Yes,Spring,Free Shipping,S,Yes,30,31,21,3.8
Accessories,Cluster 4,Lavender,64,Yes,Weekly,Male,Sunglasses,Arizona,Credit Card,Credit Card,Yes,Winter,2-Day Shipping,L,Yes,33,43,79,2.7
Footwear,Cluster 1,Green,65,Yes,Fortnightly,Male,Boots,Alabama,PayPal,Debit Card,Yes,Fall,Standard,S,Yes,65,18,83,4.8
Accessories,Cluster 4,Purple,66,Yes,Every 3 Months,Male,Backpack,New Jersey,Credit Card,Venmo,Yes,Spring,2-Day Shipping,M,Yes,65,44,36,4.8
Clothing,Cluster 3,Magenta,67,Yes,Every 3 Months,Male,Blouse,Pennsylvania,Bank Transfer,Venmo,Yes,Winter,2-Day Shipping,S,Yes,31,3,94,4.7
Outerwear,Cluster 2,Gray,68,Yes,Monthly,Male,Coat,Connecticut,PayPal,Debit Card,Yes,Winter,Store Pickup,L,Yes,45,49,33,4.4
Accessories,Cluster 4,Silver,69,Yes,Every 3 Months,Male,Handbag,Utah,Credit Card,Cash,Yes,Summer,Next Day Air,L,Yes,57,21,46,3.9
Accessories,Cluster 4,Cyan,70,Yes,Weekly,Male,Belt,Tennessee,Credit Card,Cash,Yes,Summer,Express,S,Yes,48,5,70,4.4
Accessories,Cluster 4,Magenta,71,Yes,Every 3 Months,Male,Belt,Alabama,Credit Card,Debit Card,Yes,Fall,Express,M,Yes,22,32,29,4.2
Clothing,Cluster 3,Gold,72,Yes,Annually,Male,Dress,Virginia,Debit Card,Bank Transfer,Yes,Summer,Express,L,Yes,36,34,48,2.9
Clothing,Cluster 3,Olive,73,Yes,Every 3 Months,Male,Dress,Georgia,Debit Card,Bank Transfer,Yes,Winter,Store Pickup,M,Yes,18,21,26,2.9
Clothing,Cluster 3,Teal,74,Yes,Bi-Weekly,Male,Pants,Hawaii,Debit Card,Bank Transfer,Yes,Spring,Free Shipping,M,Yes,48,43,85,2.7
Accessories,Cluster 4,Violet,75,Yes,Monthly,Male,Gloves,Indiana,PayPal,Cash,Yes,Spring,Express,L,Yes,49,3,58,4.5
Accessories,Cluster 4,Blue,76,Yes,Annually,Male,Scarf,Utah,Debit Card,Credit Card,Yes,Summer,Free Shipping,M,Yes,64,21,85,2.7
Accessories,Cluster 4,Teal,77,Yes,Monthly,Male,Hat,Delaware,Bank Transfer,Venmo,Yes,Summer,Free Shipping,S,Yes,50,32,43,4.2
Clothing,Cluster 3,Gold,78,Yes,Fortnightly,Male,Dress,Delaware,Debit Card,Debit Card,Yes,Summer,Next Day Air,L,Yes,22,36,53,3.3
Clothing,Cluster 3,Maroon,79,Yes,Fortnightly,Male,Skirt,Nebraska,Venmo,Venmo,Yes,Spring,Free Shipping,M,Yes,50,50,91,4.7
Outerwear,Cluster 2,Olive,80,Yes,Every 3 Months,Male,Jacket,Iowa,Bank Transfer,Bank Transfer,Yes,Winter,2-Day Shipping,M,Yes,38,43,96,2.6
Footwear,Cluster 1,Blue,81,Yes,Every 3 Months,Male,Sandals,New York,Credit Card,Credit Card,Yes,Summer,Store Pickup,XL,Yes,19,24,72,3.3
Footwear,Cluster 1,Maroon,82,Yes,Every 3 Months,Male,Shoes,Virginia,PayPal,Credit Card,Yes,Summer,Express,L,Yes,67,36,96,2.6
Clothing,Cluster 3,Olive,83,Yes,Every 3 Months,Male,Pants,Georgia,Bank Transfer,Credit Card,Yes,Spring,2-Day Shipping,S,Yes,19,21,28,4
Clothing,Cluster 3,Turquoise,84,Yes,Weekly,Male,Dress,Texas,Debit Card,Bank Transfer,Yes,Summer,Standard,M,Yes,36,34,40,4.1
Outerwear,Cluster 2,Peach,85,Yes,Every 3 Months,Male,Coat,Arizona,Cash,Bank Transfer,Yes,Spring,Standard,S,Yes,52,42,32,4.4
Accessories,Cluster 4,Charcoal,86,Yes,Bi-Weekly,Male,Sunglasses,New Mexico,Credit Card,Debit Card,Yes,Winter,Next Day Air,M,Yes,53,2,95,4.5
Clothing,Cluster 3,Pink,87,Yes,Bi-Weekly,Male,Hoodie,Nevada,Venmo,Cash,Yes,Spring,2-Day Shipping,L,Yes,24,47,41,3.7
Footwear,Cluster 1,Green,88,Yes,Fortnightly,Male,Shoes,Ohio,Debit Card,Debit Card,Yes,Fall,2-Day Shipping,M,Yes,52,44,53,3.7
Clothing,Cluster 3,Orange,89,Yes,Monthly,Male,T-shirt,Wyoming,Credit Card,Credit Card,Yes,Fall,Free Shipping,M,Yes,33,35,47,3.5
Outerwear,Cluster 2,Pink,90,Yes,Quarterly,Male,Jacket,California,Bank Transfer,Cash,Yes,Fall,Next Day Air,XL,Yes,47,15,83,3.6
Accessories,Cluster 4,Violet,91,Yes,Monthly,Male,Hat,South Carolina,Venmo,Credit Card,Yes,Summer,Express,L,Yes,25,29,48,2.9
Accessories,Cluster 4,Green,92,Yes,Every 3 Months,Male,Scarf,South Carolina,PayPal,Credit Card,Yes,Winter,Standard,S,Yes,44,18,99,4.6
Outerwear,Cluster 2,Olive,93,Yes,Every 3 Months,Male,Jacket,Texas,Cash,Venmo,Yes,Winter,2-Day Shipping,M,Yes,61,13,87,4.4
Clothing,Cluster 3,Purple,94,Yes,Weekly,Male,Sweater,Florida,PayPal,Credit Card,Yes,Fall,Standard,M,Yes,37,46,62,4.5
Clothing,Cluster 3,Silver,95,Yes,Weekly,Male,Skirt,Nevada,Bank Transfer,Credit Card,Yes,Spring,Free Shipping,S,Yes,58,28,76,4.6
Footwear,Cluster 1,Pink,96,Yes,Monthly,Male,Sneakers,Missouri,PayPal,PayPal,Yes,Fall,Free Shipping,L,Yes,37,48,100,3.8
Accessories,Cluster 4,Gold,97,Yes,Every 3 Months,Male,Gloves,Delaware,Venmo,Venmo,Yes,Spring,Express,S,Yes,32,43,73,3.6
Footwear,Cluster 1,Teal,98,Yes,Annually,Male,Shoes,Virginia,PayPal,Cash,Yes,Winter,Store Pickup,M,Yes,21,37,92,4.8
Clothing,Cluster 3,Teal,99,Yes,Annually,Male,Jeans,New York,Cash,Bank Transfer,Yes,Spring,Next Day Air,XL,Yes,20,20,67,2.6
Clothing,Cluster 3,Indigo,100,Yes,Quarterly,Male,Hoodie,Missouri,Cash,Debit Card,Yes,Summer,Express,XL,Yes,26,33,40,3.7
Accessories,Cluster 4,Maroon,101,Yes,Fortnightly,Male,Sunglasses,South Dakota,PayPal,Cash,Yes,Fall,Express,M,Yes,62,31,98,2.7
Outerwear,Cluster 2,White,102,Yes,Bi-Weekly,Male,Coat,North Dakota,Venmo,Credit Card,Yes,Spring,Express,XL,Yes,27,50,85,4.6
Clothing,Cluster 3,Violet,103,Yes,Quarterly,Male,Socks,Oklahoma,Credit Card,Credit Card,Yes,Winter,Next Day Air,L,Yes,51,35,67,4.8
Footwear,Cluster 1,Red,104,Yes,Bi-Weekly,Male,Boots,West Virginia,Debit Card,Venmo,Yes,Winter,Next Day Air,L,Yes,54,22,89,4
Accessories,Cluster 4,Pink,105,Yes,Monthly,Male,Sunglasses,New Hampshire,Bank Transfer,PayPal,Yes,Spring,2-Day Shipping,L,Yes,55,1,24,4.4
Accessories,Cluster 4,Charcoal,106,Yes,Annually,Male,Backpack,New York,Bank Transfer,Bank Transfer,Yes,Fall,Next Day Air,M,Yes,69,4,96,3.6
Outerwear,Cluster 2,White,107,Yes,Monthly,Male,Jacket,Minnesota,Cash,Credit Card,Yes,Summer,Standard,L,Yes,64,31,35,3.7
Footwear,Cluster 1,Olive,108,Yes,Fortnightly,Male,Sneakers,Maryland,Cash,PayPal,Yes,Winter,Next Day Air,L,Yes,28,46,67,3.1
Clothing,Cluster 3,Purple,109,Yes,Bi-Weekly,Male,Socks,Montana,Bank Transfer,Bank Transfer,Yes,Spring,Next Day Air,L,Yes,70,32,79,3.4
Clothing,Cluster 3,Violet,110,Yes,Fortnightly,Male,T-shirt,Alabama,Cash,Bank Transfer,Yes,Spring,Next Day Air,M,Yes,58,43,85,2.6
Accessories,Cluster 4,Black,111,Yes,Fortnightly,Male,Backpack,New York,Bank Transfer,Venmo,Yes,Summer,Standard,M,Yes,56,26,26,4
Accessories,Cluster 4,Purple,112,Yes,Annually,Male,Belt,Massachusetts,PayPal,Credit Card,Yes,Summer,Free Shipping,L,Yes,26,9,75,5
Accessories,Cluster 4,Red,113,Yes,Bi-Weekly,Male,Gloves,Florida,Credit Card,PayPal,Yes,Spring,Free Shipping,M,Yes,37,28,65,4.3
Accessories,Cluster 4,Maroon,114,Yes,Quarterly,Male,Hat,New Jersey,Debit Card,PayPal,Yes,Winter,Next Day Air,L,Yes,44,20,54,3.1
Outerwear,Cluster 2,Blue,115,Yes,Weekly,Male,Coat,Massachusetts,Venmo,Cash,Yes,Summer,Store Pickup,S,Yes,70,9,95,3.7
Clothing,Cluster 3,Gray,116,Yes,Every 3 Months,Male,Skirt,Wyoming,Cash,Debit Card,Yes,Spring,Standard,M,Yes,53,48,94,3.8
Footwear,Cluster 1,Blue,117,Yes,Annually,Male,Shoes,Virginia,PayPal,Venmo,Yes,Spring,Free Shipping,S,Yes,55,12,86,3.4
Footwear,Cluster 1,Yellow,118,Yes,Fortnightly,Male,Sandals,South Dakota,Bank Transfer,Cash,Yes,Summer,Express,L,Yes,50,29,32,4.6
Clothing,Cluster 3,Orange,119,Yes,Bi-Weekly,Male,Sweater,Kentucky,Bank Transfer,Cash,Yes,Fall,2-Day Shipping,L,Yes,50,27,45,4.8
Outerwear,Cluster 2,Orange,120,Yes,Annually,Male,Coat,Wyoming,Debit Card,Cash,Yes,Fall,Express,M,Yes,38,44,76,4.3
Accessories,Cluster 4,Red,121,Yes,Annually,Male,Hat,West Virginia,PayPal,Bank Transfer,Yes,Summer,Express,L,Yes,64,32,84,4
Clothing,Cluster 3,Olive,122,Yes,Fortnightly,Male,Shorts,Virginia,Cash,Cash,Yes,Winter,Standard,M,Yes,19,11,72,4.2
Accessories,Cluster 4,Brown,123,Yes,Fortnightly,Male,Backpack,Washington,Credit Card,Cash,Yes,Spring,2-Day Shipping,L,Yes,40,44,40,4.8
Clothing,Cluster 3,Brown,124,Yes,Weekly,Male,Sweater,Louisiana,Debit Card,Cash,Yes,Fall,Free Shipping,L,Yes,57,46,89,3.1
Clothing,Cluster 3,Gray,125,Yes,Annually,Male,Sweater,Nevada,PayPal,PayPal,Yes,Spring,Next Day Air,M,Yes,44,50,86,3.1
Clothing,Cluster 3,Indigo,126,Yes,Every 3 Months,Male,Shorts,California,Cash,Venmo,Yes,Winter,Next Day Air,M,Yes,49,45,54,3.6
Clothing,Cluster 3,Pink,127,Yes,Every 3 Months,Male,Shorts,Mississippi,Bank Transfer,Cash,Yes,Spring,Store Pickup,L,Yes,43,48,36,3.9
Clothing,Cluster 3,Gray,128,Yes,Weekly,Male,Sweater,Mississippi,Venmo,Credit Card,Yes,Winter,Next Day Air,M,Yes,24,26,89,4.8
Accessories,Cluster 4,Gold,129,Yes,Fortnightly,Male,Scarf,California,Venmo,Credit Card,Yes,Spring,Standard,M,Yes,20,21,32,4.7
Clothing,Cluster 3,Olive,130,Yes,Bi-Weekly,Male,Dress,Pennsylvania,Cash,PayPal,Yes,Summer,2-Day Shipping,XL,Yes,24,49,67,4.2
Accessories,Cluster 4,Violet,131,Yes,Fortnightly,Male,Scarf,Kentucky,Credit Card,PayPal,Yes,Fall,Next Day Air,L,Yes,44,13,39,3.7
Clothing,Cluster 3,Indigo,132,Yes,Weekly,Male,Skirt,Maine,PayPal,Credit Card,Yes,Summer,Standard,L,Yes,28,46,29,3.9
Accessories,Cluster 4,Orange,133,Yes,Weekly,Male,Backpack,New Mexico,Bank Transfer,PayPal,Yes,Fall,2-Day Shipping,M,Yes,30,42,58,4.7
Clothing,Cluster 3,Violet,134,Yes,Annually,Male,Sweater,Montana,Bank Transfer,Venmo,Yes,Winter,Next Day Air,M,Yes,52,25,65,2.5
Accessories,Cluster 4,Gray,135,Yes,Monthly,Male,Hat,Texas,Credit Card,Cash,Yes,Fall,Store Pickup,L,Yes,43,25,94,4.9
Footwear,Cluster 1,Purple,136,Yes,Quarterly,Male,Sandals,Kansas,PayPal,PayPal,Yes,Fall,Express,M,Yes,43,12,81,4.1
Clothing,Cluster 3,White,137,Yes,Quarterly,Male,Blouse,South Carolina,Credit Card,Debit Card,Yes,Winter,Free Shipping,M,Yes,39,4,86,3.3
Footwear,Cluster 1,Turquoise,138,Yes,Weekly,Male,Sneakers,Colorado,Cash,PayPal,Yes,Spring,Free Shipping,M,Yes,68,38,43,4.7
Clothing,Cluster 3,Maroon,139,Yes,Weekly,Male,Skirt,Georgia,Cash,Bank Transfer,Yes,Winter,Store Pickup,M,Yes,68,42,29,4.4
Outerwear,Cluster 2,White,140,Yes,Annually,Male,Coat,Florida,Debit Card,Venmo,Yes,Fall,Store Pickup,M,Yes,49,30,95,3.8
Clothing,Cluster 3,Yellow,141,Yes,Weekly,Male,Shirt,North Carolina,Bank Transfer,Credit Card,Yes,Fall,2-Day Shipping,L,Yes,63,50,28,3.9
Accessories,Cluster 4,Turquoise,142,Yes,Weekly,Male,Gloves,Virginia,PayPal,PayPal,Yes,Fall,Free Shipping,M,Yes,56,45,46,4.9
Outerwear,Cluster 2,Violet,143,Yes,Fortnightly,Male,Jacket,Nebraska,PayPal,Credit Card,Yes,Fall,Free Shipping,L,Yes,37,33,58,3.1
Outerwear,Cluster 2,Beige,144,Yes,Quarterly,Male,Coat,Missouri,Bank Transfer,PayPal,Yes,Fall,Store Pickup,M,Yes,30,25,48,2.7
Footwear,Cluster 1,Silver,145,Yes,Monthly,Male,Shoes,New Jersey,Credit Card,Cash,Yes,Fall,Express,M,Yes,19,25,43,3.2
Accessories,Cluster 4,Teal,146,Yes,Quarterly,Male,Jewelry,Missouri,Venmo,Debit Card,Yes,Fall,Standard,M,Yes,24,44,95,4.5
Clothing,Cluster 3,Black,147,Yes,Fortnightly,Male,Skirt,Colorado,Debit Card,Venmo,Yes,Fall,Standard,S,Yes,52,21,30,4
Footwear,Cluster 1,Purple,148,Yes,Fortnightly,Male,Shoes,Idaho,Bank Transfer,Bank Transfer,Yes,Summer,2-Day Shipping,M,Yes,63,31,64,3.5
Accessories,Cluster 4,Gray,149,Yes,Annually,Male,Gloves,Wyoming,PayPal,Debit Card,Yes,Fall,Store Pickup,M,Yes,37,47,90,2.6
Clothing,Cluster 3,White,150,Yes,Monthly,Male,Pants,Delaware,Venmo,PayPal,Yes,Summer,Free Shipping,M,Yes,38,14,76,3.2
Footwear,Cluster 1,Cyan,151,Yes,Every 3 Months,Male,Boots,California,Bank Transfer,Debit Card,Yes,Fall,Standard,L,Yes,35,17,96,4.9
Accessories,Cluster 4,Turquoise,152,Yes,Annually,Male,Sunglasses,North Dakota,Debit Card,Venmo,Yes,Fall,Next Day Air,L,Yes,28,3,47,4.5
Clothing,Cluster 3,Brown,153,Yes,Annually,Male,Shirt,South Carolina,PayPal,Venmo,Yes,Summer,Express,S,Yes,30,42,85,4.3
Clothing,Cluster 3,Maroon,154,Yes,Annually,Male,Hoodie,North Carolina,Debit Card,Debit Card,Yes,Winter,Standard,M,Yes,69,22,55,3.2
Clothing,Cluster 3,Charcoal,155,Yes,Quarterly,Male,Dress,Oklahoma,Debit Card,Venmo,Yes,Fall,Next Day Air,M,Yes,41,21,98,3.6
Clothing,Cluster 3,Olive,156,Yes,Quarterly,Male,Socks,Maine,Cash,Bank Transfer,Yes,Spring,Free Shipping,S,Yes,63,21,77,4.3
Clothing,Cluster 3,Lavender,157,Yes,Annually,Male,Shorts,Missouri,Venmo,Debit Card,Yes,Fall,Standard,M,Yes,35,40,26,4
Accessories,Cluster 4,Yellow,158,Yes,Fortnightly,Male,Hat,Vermont,Debit Card,Bank Transfer,Yes,Fall,Next Day Air,S,Yes,36,1,68,3
Clothing,Cluster 3,Teal,159,Yes,Monthly,Male,Shirt,Connecticut,Bank Transfer,Bank Transfer,Yes,Fall,Standard,XL,Yes,25,50,73,4.1
Accessories,Cluster 4,Charcoal,160,Yes,Every 3 Months,Male,Gloves,New Hampshire,Debit Card,Bank Transfer,Yes,Fall,Store Pickup,M,Yes,58,39,27,3.8
Accessories,Cluster 4,Orange,161,Yes,Monthly,Male,Gloves,Texas,Bank Transfer,Venmo,Yes,Summer,Free Shipping,M,Yes,27,34,23,4.6
Accessories,Cluster 4,Olive,162,Yes,Fortnightly,Male,Backpack,North Dakota,Venmo,Venmo,Yes,Fall,Express,M,Yes,65,29,49,3
Accessories,Cluster 4,Turquoise,163,Yes,Bi-Weekly,Male,Sunglasses,California,Credit Card,PayPal,Yes,Summer,Store Pickup,M,Yes,54,31,74,3
Clothing,Cluster 3,Purple,164,Yes,Weekly,Male,Skirt,Virginia,PayPal,Debit Card,Yes,Summer,Standard,M,Yes,54,8,67,3.4
Accessories,Cluster 4,Purple,165,Yes,Fortnightly,Male,Handbag,Delaware,Debit Card,Credit Card,Yes,Spring,Free Shipping,S,Yes,59,5,65,2.6
